Saccharolobus
TA-13
Metallosphaera
Halobellus
Natronolimnohabitans
MGIIa-L2
MGIIa-L1
Haloterrigena
Sulfolobus
Sulfodiicoccus
Natrarchaeobaculum
Salinigranum
RBG-16-68-12
