WHTN01
SHYL01
Phenylobacterium
Immundisolibacter
SCN-69-89
SHXF01
QNFC01
Rugosibacter
CAIXPL01
JAAXIE01
Cycloclasticus
UBA1141
Lustribacter
Mycobacterium
CAIVVS01
Ramlibacter
SHVV01
Pseudonocardia
2-02-FULL-62-17
VXOI01
UBA4582
Paraburkholderia
Rhizorhabdus
JAGPUQ01
UBA830
Hyphomonas
WHTR01
Entotheonella
AP-15
Polycyclovorans
Nevskia
Rhodococcus
UBA11222
Pusillimonas
Polaromonas
Novosphingobium
Sphingopyxis
MPNO01
Pigmentiphaga
Sphingobium
VGEU01
Croceicoccus
SYFY01
Xenophilus
Parasphingorhabdus
SYIM01
WLWZ01
Bradyrhizobium
Reyranella
UBA2964
CADEDH01
CF-72
UBA9659
Sphingomonas_I
VGZX01
JAFAHS01
CAITSH01
GCA-2717185
WHTX01
Paenibacillus_G
Limnohabitans
Acidocella
Pseudoxanthomonas_A
SCGC-AG-212-J23
Erythrobacter
Pusillimonas_A
Variovorax
UBA11650
UBA6930
UBA11873
VXNE01
WLWT01
GCA-2687515
28-YEA-48
Embleya
Bordetella
Bacillus_BD
Hylemonella
VAZQ01
Panacagrimonas
AR31
Nocardioides
Geodermatophilus
Bin87
UBA9611
Amycolatopsis
VEXF01
Bin65
Enemella
VGDP01
Azospirillum
OESV01
Burkholderia
Extensimonas
Hydrogenophaga
J050
JAEUOS01
Spirillospora
Euzebya
GCA-2720855
Rhodopila
Parapusillimonas
Neobacillus
GCA-2719775
CAIMOR01
MarineAlpha4-Bin1
Henriciella
YIM-78166
Noviherbaspirillum
JABJKO01
SP197
Caballeronia
SYSU-D60007
DC-out156
Pseudomonas_E
Saccharomonospora
Pseudolabrys
Luminiphilus
HRBIN24
WHTM01
RFXW01
NORP110
Tistrella
Streptomyces
Azohydromonas
Acinetobacter
Ga0077536
SZUA-309
JABFSC01
JACMQX01
CAIXXC01
Zhongshania
Rhizobium
Corynebacterium
Binatus
PALSA-894
UBA4421
WHTO01
Zoogloea
PALSA-1005
DC-out160
Elarobacter
Microtetraspora
Aliidongia
Cytobacillus
Bordetella_A
Solimonas
Ga0077523
Herbaspirillum
SYOC01
VXRN01
DRLW01
Bin18
CAIKBL01
Calidifontibacillus
Sphingomonas
Egicoccus
Brevibacillus
HRBIN32
Limnohabitans_A
Cryptosporangium
Massilia
Rubrivivax
Melittangium
Raineyella
Pseudomonas_K
BOG-908
JAAXHV01
UBA9926
JAEUHN01
Ensifer_A
Achromobacter
Sciscionella
Martelella
UBA8592
VGEI01
SHVW01
Rhodopseudomonas
Rhodoferax_A
Aerosticca
Actibacterium_A
Roseomonas
Candidimonas
AR12
F1-20-MAGs016
UBA7359
CAIZPE01
JABJJH01
CAIPUP01
CAIMFV01
Lacisediminimonas
Kluyvera
Camelimonas
Kibdelosporangium
Marinobacterium
AR37
SCQM01
Rhodococcus_B
Pelagerythrobacter
Micromonospora
MPMV01
Parvibaculum
SAR202-VII-2
Paremcibacter
CADEDU01
Paucibacter_A
QWOP01
Pseudomonas
Alicyclobacillus_G
Nocardia
Brevundimonas
Paeniglutamicibacter
Halioglobus
Parasphingopyxis
Janibacter
Arthrobacter
ALPHA2B
Bin95
WHUE01
Chersky-822
Pseudacidovorax
UBA6544
GCA-2724505
BOG-934
Photorhabdus
Sphingosinicella
AR8
JADHLJ01
CAISIP01
JAERMM01
Xanthobacter
Z2-YC6860
